pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
0,58.0,7.95,0.157688476268492,0.1634650669350853,0.137786353469435,0.20653205040438585,0.1024,297504.0,162848.0,162.0,117.0,101.0,112.0,0.0,0.0
1,55.0,4.55,0.15211602095849217,0.137786353469435,0.1024,0.27790330175572137,0.1024,281824.0,94112.0,156.0,81.0,58.0,156.0,0.0,0.0
2,48.4,10.2,0.8554112480848141,0.1024,0.12480657252785048,0.2539985320257652,0.1024,248160.0,209504.0,884.0,127.0,88.0,155.0,41.0,0.0
3,44.4,4.35,0.20839807674098557,0.16945327103418178,0.1024,0.27294881089701023,0.1024,228288.0,90080.0,214.0,111.0,0.0,117.0,68.0,0.0
4,61.4,13.9,0.1024,0.1024,0.1024,0.22596956867426202,0.1024,314784.0,285056.0,102.0,10.0,51.0,109.0,49.0,0.0
5,52.4,4.4,0.1024,0.14412438152599996,0.1024,0.2656821986717712,0.1024,269216.0,90368.0,0.0,57.0,0.0,112.0,54.0,0.0
6,123.2,13.2,0.4724571835118812,0.12039611043028081,0.2028499741235547,0.22801121386003648,0.3448607009862543,631264.0,271328.0,487.0,127.0,167.0,171.0,355.0,0.0
7,62.6,8.2,1.2368903653634913,0.16793596208624098,0.12593420550714696,0.21798417016794858,0.1024,321152.0,167968.0,1281.0,269.0,92.0,118.0,92.0,0.0
8,41.4,7.9,0.21603230857279196,0.14674048719226498,0.1024,0.2959630243862989,0.1024,212704.0,162112.0,221.0,92.0,24.0,153.0,71.0,0.0
9,38.6,8.45,0.16055079360788177,0.19392942359868295,0.1024,0.38416580623817104,0.13054754424534865,197760.0,173728.0,165.0,140.0,88.0,266.0,135.0,0.0
10,36.4,2.45,0.1353298830914057,0.1024,0.1024,0.21409792422694074,0.1024,187168.0,50272.0,138.0,12.0,22.0,83.0,68.0,0.0
11,61.2,11.95,0.24065434466442132,0.16643223934073492,0.21218086063659222,0.12368903653634912,0.1024,313632.0,245280.0,247.0,144.0,161.0,70.0,23.0,0.0
12,92.0,19.7,0.7341227903127507,0.24282866745975348,0.31519636956627706,0.17566084058551082,0.13291720693948222,471584.0,404416.0,755.0,307.0,287.0,181.0,137.0,0.0
13,40.0,11.9,3.2091772635322533,0.16055079360788177,0.21798417016794858,0.22801121386003648,0.1024,204960.0,243712.0,3321.0,548.0,187.0,180.0,80.0,0.0
14,62.0,4.45,0.1024,0.11103405652348632,0.1024,0.25629342015227985,0.1024,317536.0,92000.0,0.0,27.0,17.0,115.0,1.0,0.0
15,39.8,2.95,0.1024,0.1024,0.1024,0.137786353469435,0.1024,204576.0,61120.0,21.0,0.0,0.0,0.0,55.0,0.0
16,44.8,5.2,0.1024,0.1024,0.1024,0.2450226353590413,0.11719085064164587,229504.0,107104.0,92.0,25.0,0.0,97.0,121.0,0.0
17,43.2,2.6,0.18876651442269293,0.1024,0.1024,0.14412438152599996,0.11407092326346777,221472.0,54240.0,193.0,24.0,0.0,6.0,118.0,0.0
18,55.4,6.65,0.19568158463697313,0.1024,0.1494040796805694,0.15911319872255733,0.1024,284544.0,136800.0,201.0,0.0,88.0,71.0,0.0,0.0
19,35.8,9.1,0.1024,0.1024,0.1024,0.18876651442269293,0.1024,183392.0,186720.0,99.0,12.0,0.0,46.0,0.0,0.0
20,84.0,7.3,0.1024,0.14542655177583327,0.1024,0.26330324207274547,0.1024,430688.0,149920.0,45.0,71.0,41.0,132.0,0.0,0.0
21,77.8,18.95,0.526304952399003,0.3542929060730811,0.12258150712276275,0.28808371352153866,0.1024,398368.0,388096.0,545.0,361.0,126.0,189.0,2.0,0.0
22,36.8,9.6,0.24282866745975348,0.1024,0.1024,0.2586090426959236,0.1024,189152.0,197408.0,249.0,27.0,0.0,111.0,0.0,0.0
23,42.4,2.85,0.12258150712276275,0.15487718863980784,0.12480657252785048,0.29863706358303954,0.10905452905988393,217312.0,58656.0,126.0,101.0,106.0,201.0,112.0,0.0
24,49.4,10.4,0.4318172195108682,0.1024,0.1024,0.18876651442269293,0.1024,253824.0,213216.0,445.0,74.0,11.0,52.0,25.0,0.0
25,45.8,5.15,0.1024,0.13655259465352437,0.1024,0.23424749571260373,0.1353298830914057,234656.0,106400.0,105.0,65.0,0.0,84.0,140.0,0.0
26,63.8,12.8,0.20653205040438585,0.2586090426959236,0.11003984162010291,0.17098428893650555,0.1024,326880.0,263072.0,212.0,217.0,77.0,61.0,0.0,0.0
27,54.8,6.15,0.1024,0.17098428893650555,0.10905452905988393,0.1820958115879857,0.1024,280992.0,126240.0,77.0,108.0,67.0,71.0,2.0,0.0
28,61.6,7.6,0.21798417016794858,0.1788493872806009,0.13655259465352437,0.2609455869930851,0.1024,315872.0,156192.0,224.0,141.0,113.0,169.0,0.0,0.0
29,30.6,11.35,1.5487718863980784,0.1024,0.11203725420310383,0.27541491564288445,0.19047202834506569,157312.0,232576.0,1599.0,183.0,74.0,169.0,196.0,0.0
