,0,1,2,3,4,5,6,7
0,244448,120992,2020,236,128,163,153,0
1,445568,301472,493,265,236,147,202,0
2,172192,87744,21,119,92,97,292,0
3,123840,296672,17,1,12,0,126,0
4,175072,92480,140,5,118,108,180,0
5,527264,436512,273,184,165,175,106,0
6,391104,626304,4,177,93,82,64,0
7,422208,925376,140,149,83,81,0,0
8,414592,665344,177,124,148,169,138,0
9,426528,423552,164,193,333,259,335,0
10,197536,69088,58,39,74,81,188,0
11,133440,109728,0,52,121,34,179,0
12,159552,52960,167,0,88,140,105,0
13,192960,123168,150,73,181,112,197,0
14,396768,403136,66,268,173,127,264,0
15,195648,53088,125,85,118,102,99,0
16,158240,580480,17,0,114,51,177,0
17,195904,96832,223,86,143,73,22,0
18,152864,128768,173,147,134,293,262,0
19,142080,77472,143,43,95,94,76,0
20,245536,76448,1750,156,217,103,161,0
21,155360,90912,209,120,102,79,100,0
22,401536,863872,167,40,179,93,79,0
23,162848,85504,166,117,150,45,56,0
24,621216,1048544,150,52,132,8,308,0
25,160608,68384,89,92,141,135,137,0
26,183712,531328,205,95,202,19,5,0
27,180160,101760,0,29,128,75,170,0
28,168160,88352,164,100,97,44,354,0
29,196608,76960,76,90,109,87,211,0
30,151648,80032,136,0,169,115,66,0
31,474528,778368,164,49,164,133,172,0
32,143392,91648,155,0,120,81,60,0
33,388480,696352,3,53,149,47,90,0
34,148352,91456,55,166,172,152,198,0
35,185024,79264,53,36,105,108,93,0
36,322272,156576,157,101,134,125,112,0
37,142464,94208,99,117,94,123,24,0
38,124832,79808,81,23,86,65,236,0
39,193376,62176,2945,347,153,156,83,0
40,464160,787840,229,160,163,157,156,0
41,159168,55552,92,108,110,91,235,0
42,239616,93728,2703,295,159,160,32,0
43,143296,131616,194,139,224,260,158,0
44,227808,70880,715,53,127,95,19,0
45,183968,56384,85,47,116,93,91,0
46,500064,745856,362,80,101,131,213,0
47,136544,104608,69,93,127,65,115,0
48,146208,120352,8,0,111,80,78,0
49,131424,566560,0,0,48,90,230,0
50,435584,579616,143,213,49,80,131,0
51,580352,759488,492,195,166,236,274,0
52,223264,75968,701,213,183,301,103,0
53,204928,64672,55,74,17,105,71,0
54,431104,1021568,387,276,231,195,223,0
55,150464,80384,223,35,123,130,176,0
56,224672,113184,105,89,85,112,43,0
57,150112,682880,48,0,46,0,73,0
58,252096,71328,743,125,212,179,198,0
59,183488,58912,90,128,149,73,37,0
60,205472,87424,100,148,140,35,192,0
61,168512,62624,37,0,21,93,56,0
62,247104,74912,2762,405,208,169,295,0
63,159360,63008,181,40,0,89,158,0
64,470464,558816,95,86,60,2,149,0
65,171904,75840,47,39,53,15,56,0
66,195040,95424,36,59,95,126,191,0
67,214976,62400,856,151,172,87,95,0
68,188960,66560,1371,241,136,115,215,0
69,988736,1048544,1145,569,420,305,101,0
70,158752,93088,59,31,72,53,100,0
71,233152,119744,3552,422,233,70,56,0
72,1043648,1048544,87,0,76,71,577,0
73,407936,552960,125,0,148,124,159,0
74,255552,103872,1721,284,129,165,124,0
75,330240,706816,93,95,99,36,201,0
76,214304,83328,112,159,99,110,51,0
77,135584,91840,0,141,79,76,110,0
78,396672,1024512,245,224,112,178,203,0
79,191360,91776,90,168,147,23,68,0
