pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
0,46.4,4.5,0.1024,0.15911319872255733,0.1024,0.18046529951454654,0.1024,238176.0,92448.0,27.0,89.0,57.0,65.0,23.0,0.0
1,49.8,4.95,0.1024,0.11407092326346777,0.1740879481674622,0.19047202834506569,0.1024,255584.0,102144.0,102.0,64.0,129.0,117.0,54.0,0.0
2,28.2,2.55,0.5077061879485087,0.1024,0.2028499741235547,0.21409792422694074,0.1740879481674622,144416.0,52352.0,521.0,85.0,159.0,158.0,180.0,0.0
3,25.4,2.4,1.64941981144854,0.1024,0.2517241926574282,0.15911319872255733,0.1024,130080.0,49856.0,1695.0,129.0,184.0,129.0,71.0,0.0
4,41.2,3.5,0.1024,0.16494198114485398,0.1024,0.3387124861943804,0.1024,211552.0,72608.0,57.0,94.0,61.0,212.0,49.0,0.0
5,47.2,7.8,1.1824967523220051,0.1024,0.13655259465352437,0.19923354230667628,0.1024,242400.0,160544.0,1221.0,157.0,86.0,105.0,43.0,0.0
6,45.8,3.5,0.1024,0.1024,0.13903125935157085,0.268082649250345,0.1024,234688.0,72192.0,99.0,46.0,108.0,177.0,0.0,0.0
7,46.4,3.5,0.1024,0.1270720267009761,0.11003984162010291,0.28294772515375516,0.10905452905988393,237856.0,72256.0,83.0,65.0,84.0,176.0,112.0,0.0
8,43.8,3.1,0.1024,0.16945327103418178,0.19392942359868295,0.157688476268492,0.1024,224320.0,64288.0,91.0,123.0,149.0,94.0,62.0,0.0
9,54.0,9.75,1.0332518859176423,0.1024,0.1024,0.3238172324012421,0.1024,277056.0,200576.0,1069.0,156.0,54.0,200.0,9.0,0.0
10,49.4,6.5,0.24282866745975348,0.1024,0.1024,0.1494040796805694,0.1024,253344.0,134016.0,248.0,0.0,30.0,29.0,23.0,0.0
11,57.2,7.35,6.770370828712771,0.1024,0.43571870745245805,0.1024,0.1024,293024.0,151424.0,6984.0,813.0,353.0,164.0,100.0,0.0
12,41.0,6.4,0.3876367615240837,0.14155491608144893,0.19923354230667628,0.17724794415708725,0.1024,210624.0,131456.0,398.0,137.0,156.0,117.0,39.0,0.0
13,47.8,8.0,2.1218086063659225,0.1024,0.26330324207274547,0.137786353469435,0.13291720693948222,245600.0,163904.0,2197.0,317.0,204.0,113.0,137.0,0.0
14,61.0,7.4,1.4806629407410294,0.1024,0.19744957652881365,0.16945327103418178,0.1024,313056.0,152160.0,1522.0,208.0,143.0,109.0,66.0,0.0
15,81.4,12.65,1.2368903653634913,0.12368903653634912,0.27541491564288445,0.157688476268492,0.12368903653634912,417152.0,259616.0,1277.0,248.0,228.0,141.0,127.0,0.0
